author,likes,clean_text,clean_query,sentiment_score,ingest_timestamp
CosmicAnik,2,i think death is just a transit to anoth state of conscious val kilmer,death20of20val20kilmer0a,-0.5994,2025-04-04T15:07:44.231Z
News 📰,1,jim carrey is pay tribut to hi batman forev costar val kilmer after hi death at 65 a gener talent who left us an enviabl legaci of indel act perform,death20of20val20kilmer0a,-0.3612,2025-04-04T15:07:44.231Z
INBELLA,0,val kilmer tribut cage coppola weird al photo paul harrisgetti imag val kilmer star of the door macgrub kiss kiss bang bang and batman forev die thi week from pneumonia news of hi death broke,death20of20val20kilmer0a,-0.7717,2025-04-04T15:07:44.231Z
AylanX,5,val kilmer wa one of the one whose death i knew would sadden me more he wa sort of a rockstar actor of my gen until he wa suddenli gone from the screen if you havent watch hi documentari val it worth a view veri interest life journey i hope it wa a good one for him rip,death20of20val20kilmer0a,0.296,2025-04-04T15:07:44.231Z
Media News,0,val kilmer don batman mask in final instagram video one of val kilmer last instagram post befor hi shock death is quit nostalg it show him put on a batman mask as he sit next to artwork of the belov superhero check out the clip val who notori play media news,death20of20val20kilmer0a,-0.6249,2025-04-04T15:07:44.231Z
Media News,0,celebr react to val kilmer death val kilmer unexpect pass is send shockwav through hollywood with ton of star react to the loss after the actor die of pneumonia on tuesday franci ford coppola who direct kilmer in the 2011 horrormysteri film twixt media news,death20of20val20kilmer0a,-0.8779,2025-04-04T15:07:44.231Z
🍁🇨🇦Team Canada Forever🇨🇦🍁,7,trump declar sweep global tariff in respons to death of val kilmer that make a way sens to me ill approv that 50 tariff to everybodi go team canada forev vive le canada canada elbowsup markcarneyforpm cdnpoli tariff tradewar neverpoilievr never51st,death20of20val20kilmer0a,-0.7717,2025-04-04T15:07:44.231Z
Donald Schaaf,0,ive been spend the last few hour think what if i die today i would not of made thing good with my daughter never felt love again and miss out of spend time with peopl val kilmer death hit me hard i dont know whi,death20of20val20kilmer0a,-0.8825,2025-04-04T15:07:44.231Z
News 📰,1,the cancer treatment had reportedli left val kilmer sap of energi and bedbound in the final year befor hi death,death20of20val20kilmer0a,-0.8519,2025-04-04T15:07:44.231Z
Daily Batman Anthology,5,just like my parent it happen again a monster come out of the night a scream two shot i kill them bruce wayn val kilmer from batman forev 1995 quoteoftheday releasetheschumachercut,death20of20val20kilmer0a,-0.7096,2025-04-04T15:07:44.231Z
Media News,0,val kilmer dead at 65 val kilmer star of top gun the door and sever other classic film die tuesday in lo angel accord to hi famili val daughter merced kilmer told the new york time which first report the death her dad die of media news,death20of20val20kilmer0a,-0.9559,2025-04-04T15:07:44.231Z
INBELLA,0,celebr rememb val kilmer some of the best act ive ever been privileg to wit tribut are pour in follow news of val kilmer death the,death20of20val20kilmer0a,0.0772,2025-04-04T15:07:44.231Z
INBELLA,0,val kilmer wore batman mask in one of final instagram post befor death val kilmer wore batman mask in one of final instagram post befor death post by wuzzwuzz,death20of20val20kilmer0a,-0.8316,2025-04-04T15:07:44.231Z
F*XOXO,0,val kilmer wore batman mask in one of final instagram post befor death val kilmer wore batman mask in one of final instagram post befor death by wuzzwuzz,death20of20val20kilmer0a,-0.8316,2025-04-04T15:07:44.231Z
CJ™ Ⓥ,20,my father death anniversari on april 1st and then val kilmer on the same day remind me of when my old man and i saw the door movi togeth in the theater he lean over and whisper i paid more for the two of us to see thi movi than i did to see the real jim morrison,death20of20val20kilmer0a,-0.5994,2025-04-04T15:07:44.231Z
INBELLA,0,val kilmer death latest jim carrey nicola cage and cher lead tribut to top gun and batman forev star star of top gun and batman forev val kilmer,death20of20val20kilmer0a,-0.7269,2025-04-04T15:07:44.231Z
KJZZ Phoenix,3,the late actor val kilmer play a dash role in one of the most rever western set in arizona town too tough to die hi death may caus a spike in stream of the 1993 tombston,death20of20val20kilmer0a,-0.7845,2025-04-04T15:07:44.231Z
"",0,rest in peac val kilmer,death20of20val20kilmer0a,0.0,2025-04-04T15:07:44.231Z
The Beaverton,264,trump declar sweep global tariff in respons to death of val kilmer,death20of20val20kilmer0a,-0.5994,2025-04-04T15:07:44.231Z
Eyebuds,1,val kilmer wa also in heat he die today death make angel of us all give us wing where we had shoulder smooth as raven claw,death20of20val20kilmer0a,-0.8316,2025-04-04T15:07:44.231Z
The Real Grim Reaper,1,ive seen more post about the death of val kilmer rip than i have about the 10k peopl who lost their job,death20of20val20kilmer0a,-0.7351,2025-04-04T15:07:44.231Z
Graham M.,1,abcnewsgocomgmacultur celebr and more rememb val kilmer tribut are pour in follow news of actor val kilmer death by yijin yu via gma abc news,death20of20val20kilmer0a,-0.5994,2025-04-04T15:07:44.231Z
✨ brit ✨,100,professor grok,death20of20val20kilmer0a,0.0,2025-04-04T15:07:44.231Z
Josh Bell,4,i wrote thi piec on heat which just pop up on netflix right befor the news broke about val kilmer death so it mostli about the great of al pacino and robert de niro but the entir cast is fantast and it a perfect movi to watch in tribut to kilmer filmski movieski,death20of20val20kilmer0a,0.6428,2025-04-04T15:07:44.231Z
🇨🇦🍁 Wayne 🍁🇨🇦,0,of all the crap ive read today the onli thing that move me wa the death of val kilmer i am sure my give a fuck factor will be restor tomorrow,death20of20val20kilmer0a,-0.8271,2025-04-04T15:07:44.231Z
KeyLimeOhPie,0,now ad val kilmer to the list of peopl thi administr is directli respons for the death of,death20of20val20kilmer0a,-0.5994,2025-04-04T15:07:44.231Z
Graeme Swanson,5,the death of val kilmer sent me back to top secret i have to admit i prefer the higher joke rate of airplan but there are some bloodi love sight gag,death20of20val20kilmer0a,0.5647,2025-04-04T15:07:44.231Z
Just call me Phil,0,val kilmer pass away is the toughest celebr death that i can think of that man wa my childhood rip iceman,death20of20val20kilmer0a,-0.6369,2025-04-04T15:07:44.231Z
TV Shows Ace,1,val kilmer dead at 65 caus of death reveal bitly4cdiygd valkilm,death20of20val20kilmer0a,-0.8481,2025-04-04T15:07:44.231Z
"",0,rip val kilmer i realli like batman forev especi val bruce wayn get a glimps of hi trauma over hi parent death wa realli evoc for me,death20of20val20kilmer0a,-0.6369,2025-04-04T15:07:44.231Z
jimmy alto,1,"",death20of20val20kilmer0a,0.0,2025-04-04T15:07:44.231Z
"",0,check out thi articl from usa today anoth north star extinguish val kilmer caus of death a closer look at hi health issu battl with throat cancer,death20of20val20kilmer0a,-0.8519,2025-04-04T15:07:44.231Z
"♂ ♀ ✳ † ∞, ☮, 𓃭𓎼𓇋𓎢 𓊪𓃭𓄿𓋴",1,so sorri to hear about the death of val kilmer,death20of20val20kilmer0a,-0.5994,2025-04-04T15:07:44.231Z
LouLou (Louise),16,liter onli found thi out today gut to hear about the death of val kilmer yesterday,death20of20val20kilmer0a,-0.5994,2025-04-04T15:07:44.231Z
